address,bathrooms,bedrooms,built,lot,saledate,saleprice,squarefeet
"603 Sunset Rd, Ann Arbor, MI Real Estate",2,3,1955,10498.00,20140908,375000,1749.00
"1116 Fountain St, Ann Arbor, MI Real Estate",2,4,1949,27007.20,20140905,469900,1910.00
"3277 Chamberlain Cir, Ann Arbor, MI Real Estate",3,3,2002,13939.20,20140905,315000,1401.00
"3049 Appleridge Dr, Ann Arbor, MI Real Estate",2.5,4,1996,10454.00,20140904,380000,2540.00
"2644 Pamela Ave, Ann Arbor, MI Real Estate",1,3,1961,7144.00,20140904,215000,1050.00
"2889 Walnut Ridge Dr, Ann Arbor, MI Real Estate",4,4,2005,21780.00,20140904,790000,3972.00
"1336 Nottington Ct, Ann Arbor, MI Real Estate",3,3,2002,,20140904,332350,1521.00
"344 Sedgewood Ln # 14, Ann Arbor, MI Real Estate",,,,6534.00,20140904,345000,
"545 Allison Dr, Ann Arbor, MI Real Estate",2,2,,12632.40,20140904,159900,1400.00
"2699 Cook Creek Dr, Ann Arbor, MI Real Estate",3,4,1999,10454.00,20140904,320000,2072.00
"229 Crest St, Ann Arbor, MI Real Estate",1,3,1922,5662.00,20140904,371175,1144.00
"1215 Arborview Blvd, Ann Arbor, MI Real Estate",3,4,1946,7666.00,20140903,420000,1528.00
"2314 Eton Ct, Ann Arbor, MI Real Estate",2,3,1969,11761.20,20140903,264900,2036.00
"6900 Park Rd, Ann Arbor, MI Real Estate",2.5,3,1990,108900.00,20140903,290000,1960.00
"2468 Centennial Ln, Ann Arbor, MI Real Estate",2,3,1984,336283.20,20140829,410000,2254.00
"1739 Timber Trl, Ann Arbor, MI Real Estate",3.5,5,2001,7840.00,20140829,540000,3223.00
"514 Burswood Ct, Ann Arbor, MI Real Estate",3,4,1998,21780.00,20140829,480000,2932.00
"4432 Corey Cir, Ann Arbor, MI Real Estate",4,4,2000,22215.60,20140829,495000,3379.00
"1720 Enclave Ln, Ann Arbor, MI Real Estate",3,4,2009,7405.00,20140829,315000,2146.00
"5909 Villa France Ave, Ann Arbor, MI Real Estate",3,3,2000,10018.00,20140829,350000,2668.00
"1700 Arbordale St, Ann Arbor, MI Real Estate",2,3,1957,7492.00,20140828,267000,1300.00
"8254 Waters Rd, Ann Arbor, MI Real Estate",2,4,1996,139392.00,20140827,359000,1996.00
"2972 Signature Blvd, Ann Arbor, MI Real Estate",2,2,2003,,20140827,210000,1473.00
"805 Patricia Ave, Ann Arbor, MI Real Estate",2,4,1961,10018.00,20140827,285000,1748.00
"2484 Dundee Dr, Ann Arbor, MI Real Estate",2.5,4,1976,8581.00,20140827,315000,2052.00
"603 Sunset Rd, Ann Arbor, MI Real Estate",2,3,1955,10498.00,20140908,375000,1749.00
"3277 Chamberlain Cir, Ann Arbor, MI Real Estate",3,3,2002,13939.20,20140905,315000,1401.00
"1116 Fountain St, Ann Arbor, MI Real Estate",2,4,1949,27007.20,20140905,469900,1910.00
"3049 Appleridge Dr, Ann Arbor, MI Real Estate",2.5,4,1996,10454.00,20140904,380000,2540.00
"229 Crest St, Ann Arbor, MI Real Estate",1,3,1922,5662.00,20140904,371175,1144.00
"344 Sedgewood Ln # 14, Ann Arbor, MI Real Estate",,,,6534.00,20140904,345000,
"545 Allison Dr, Ann Arbor, MI Real Estate",2,2,,12632.40,20140904,159900,1400.00
"2889 Walnut Ridge Dr, Ann Arbor, MI Real Estate",4,4,2005,21780.00,20140904,790000,3972.00
"2699 Cook Creek Dr, Ann Arbor, MI Real Estate",3,4,1999,10454.00,20140904,320000,2072.00
"2644 Pamela Ave, Ann Arbor, MI Real Estate",1,3,1961,7144.00,20140904,215000,1050.00
"1336 Nottington Ct, Ann Arbor, MI Real Estate",3,3,2002,,20140904,332350,1521.00
"2314 Eton Ct, Ann Arbor, MI Real Estate",2,3,1969,11761.20,20140903,264900,2036.00
"6900 Park Rd, Ann Arbor, MI Real Estate",2.5,3,1990,108900.00,20140903,290000,1960.00
"1215 Arborview Blvd, Ann Arbor, MI Real Estate",3,4,1946,7666.00,20140903,420000,1528.00
"514 Burswood Ct, Ann Arbor, MI Real Estate",3,4,1998,21780.00,20140829,480000,2932.00
"5909 Villa France Ave, Ann Arbor, MI Real Estate",3,3,2000,10018.00,20140829,350000,2668.00
"1739 Timber Trl, Ann Arbor, MI Real Estate",3.5,5,2001,7840.00,20140829,540000,3223.00
"4432 Corey Cir, Ann Arbor, MI Real Estate",4,4,2000,22215.60,20140829,495000,3379.00
"1720 Enclave Ln, Ann Arbor, MI Real Estate",3,4,2009,7405.00,20140829,315000,2146.00
"2468 Centennial Ln, Ann Arbor, MI Real Estate",2,3,1984,336283.20,20140829,410000,2254.00
"1700 Arbordale St, Ann Arbor, MI Real Estate",2,3,1957,7492.00,20140828,267000,1300.00
"8254 Waters Rd, Ann Arbor, MI Real Estate",2,4,1996,139392.00,20140827,359000,1996.00
"2972 Signature Blvd, Ann Arbor, MI Real Estate",2,2,2003,,20140827,210000,1473.00
"2484 Dundee Dr, Ann Arbor, MI Real Estate",2.5,4,1976,8581.00,20140827,315000,2052.00
