id,salary,exprior,yearsbg,yearsrank,market,termdeg,admin,yearsdg,rank,male
1,38361.75,0,14,2,0.72,1,0,14,2,0
2,68906,2,29,20,1,1,0,31,3,1
3,55979,0,14,3,1.04,1,0,14,3,1
4,61008,0,3,3,1.24,1,0,2,1,1
5,42977,5,7,1,0.99,1,0,12,2,1
6,51640,4,13,5,0.99,1,0,17,3,0
7,42034,1,8,4,0.79,1,0,9,2,0
8,31000,0,0,0,0.88,1,0,0,1,1
9,45584,0,25,5,0.96,1,0,23,2,1
10,35782,0,2,1,0.99,1,0,1,1,1
11,63167,0,26,17,0.96,1,0,22,2,1
12,66032,0,29,16,0.89,1,0,27,3,1
13,48168,2,16,11,0.84,1,0,18,2,1
14,38935,15,3,3,0.91,1,0,18,1,0
15,75353,0,25,12,1.24,1,0,21,3,1
16,64794.6,0,21,11,0.92,1,0,20,3,1
17,79002,1,30,24,0.99,1,0,31,3,1
18,63155,0,6,0,1.33,1,0,6,2,1
19,54701,19,2,1,0.99,1,0,21,2,1
20,44319,4,26,22,0.78,1,0,30,2,1
21,30001,5,3,3,0.77,1,0,8,1,0
22,54464,0,10,1,0.99,1,0,10,3,1
23,47344,0,3,3,1.21,1,0,3,1,0
24,65704,1,21,11,0.76,1,0,22,3,1
25,48681,0,19,12,1.05,1,0,19,2,0
26,53248,0,23,13,0.74,1,0,22,3,1
27,39461,3,2,2,0.85,1,0,5,1,0
28,43958,4,12,6,0.81,1,0,16,2,0
29,96156,20,12,12,1.19,1,0,32,3,1
30,37000,7,7,4,0.78,1,0,14,2,1
31,41563,7,2,2,0.92,1,0,9,1,1
32,32000,2,0,0,0.85,1,0,2,1,0
33,46292,0,2,2,1.14,1,0,2,1,0
34,37000,3,0,0,1,1,0,3,1,1
35,68894,16,7,7,0.99,1,1,23,3,1
36,53103,3,10,10,1.23,1,0,13,2,1
37,56289,5,21,15,0.78,1,0,26,3,1
38,53187,19,7,6,0.78,1,0,26,3,0
39,33680,1,3,3,0.85,1,0,4,1,1
40,52996,5,8,8,0.84,1,1,13,2,1
41,55978.2,7,8,8,0.76,1,0,15,2,1
42,36869,0,7,1,0.85,1,0,6,2,0
43,37242,8,4,1,0.99,1,0,12,2,1
44,56252,0,17,14,0.73,1,0,17,2,1
45,59835,1,24,9,0.8,1,0,25,3,1
46,56419,0,23,18,1,1,0,23,3,1
47,66746,1,25,16,1.09,1,0,26,3,1
48,45669,2,18,5,0.73,1,0,20,2,0
49,36833,8,2,2,0.89,1,0,10,1,0
50,30927,1,6,6,0.79,1,0,7,1,1
51,54296,7,17,4,1.02,1,0,24,3,1
52,43695,17,4,4,0.93,0,0,21,1,1
53,48065,0,13,13,1.21,1,0,13,1,0
54,57965.12,12,13,13,1.13,1,1,25,3,1
55,30000,3,0,0,0.78,0,0,3,1,1
56,52009,0,23,1,0.85,1,0,21,3,0
57,55227,0,3,3,1.23,1,0,2,1,1
58,53665,0,25,12,0.92,1,0,23,3,1
59,54423,13,24,18,1.09,1,0,37,3,1
60,36833,0,3,3,0.84,1,0,3,1,0
61,61812,6,19,8,1.02,1,0,25,3,1
62,33680,0,2,1,0.92,1,0,1,1,0
63,40356,0,4,0,0.78,1,0,4,2,0
64,37359,6,3,3,0.85,1,0,9,1,0
65,75365,0,25,17,1.14,1,0,24,3,1
66,40465,4,5,0,0.91,1,0,9,2,1
67,38410,10,1,1,0.92,1,0,11,2,0
68,51199,0,21,10,0.93,1,0,19,3,1
69,52034,0,24,15,0.85,1,0,22,2,1
70,36515,2,7,1,0.81,1,0,9,2,0
71,56687,0,21,10,0.85,1,0,20,3,1
72,34000,1,9,3,0.78,1,0,10,2,1
73,33680,0,2,1,0.85,1,0,1,1,1
74,35257,3,4,4,0.85,1,0,7,1,1
75,50729,0,20,7,0.85,1,0,19,3,0
76,40957,0,14,13,0.92,1,0,13,1,1
77,61218,0,27,18,1.02,1,0,27,3,1
78,70101.78,0,23,16,0.89,1,0,22,3,1
79,44463,5,6,3,1,1,0,11,2,1
80,30000,0,0,0,0.81,1,0,0,1,0
81,36308,0,1,0,0.87,1,0,1,1,0
82,62276,6,23,11,0.77,1,0,29,3,1
83,56055,0,18,6,0.93,1,0,18,3,1
84,34468,0,3,3,0.85,1,0,3,1,1
85,48473,0,19,15,0.84,1,0,19,2,1
86,40512,4,1,1,1,1,0,5,1,1
87,49252,0,22,17,0.89,1,0,22,2,1
88,40066,0,4,4,0.88,1,0,4,1,1
89,60892,12,14,11,0.95,1,0,26,3,1
90,51126,0,27,0,0.91,1,0,25,3,1
